1	0.000010	0.994949	1.010101	1.000000
2	0.000013	0.993990	1.012020	1.000000
3	0.000016	0.992626	1.014747	1.000000
4	0.000020	0.990606	1.018788	1.000000
5	0.000025	0.986515	1.026970	1.000000
6	0.000032	0.985000	1.030000	1.000000
7	0.000040	0.980000	1.040000	1.000000
8	0.000050	0.975859	1.048283	1.000000
9	0.000063	0.969848	1.060303	1.000000
10	0.000079	0.964242	1.071515	1.000000
11	0.000100	0.954697	1.090606	1.000000
12	0.000126	0.944040	1.111919	1.000000
13	0.000158	0.933990	1.132020	1.000000
14	0.000200	0.914646	1.170707	1.000000
15	0.000251	0.898737	1.202525	1.000000
16	0.000316	0.881818	1.236364	1.000000
17	0.000398	0.857879	1.284242	1.000000
18	0.000501	0.831616	1.336768	1.000000
19	0.000631	0.806162	1.387677	1.000000
20	0.000794	0.777172	1.445657	1.000000
21	0.001000	0.753131	1.493737	1.000000
22	0.001259	0.722879	1.554242	1.000000
23	0.001585	0.694848	1.610303	1.000000
24	0.001995	0.664747	1.670505	1.000000
25	0.002512	0.640657	1.718687	1.000000
26	0.003162	0.617921	1.765808	1.000000
27	0.003981	0.600084	1.808788	1.000000
28	0.005012	0.574386	1.886212	1.000000
29	0.006310	0.545387	2.003232	1.000000
30	0.007943	0.514449	2.138232	1.000000
31	0.010000	0.478998	2.311616	1.000000
32	0.012589	0.444279	2.505101	1.000000
33	0.015849	0.414106	2.705354	1.000000
34	0.019953	0.367777	3.093081	1.000000
35	0.025119	0.308265	3.863939	1.000000
36	0.031623	0.264397	5.469141	1.000000
37	0.039811	0.223218	7.571263	1.000000
38	0.050119	0.157632	12.805204	0.999899
39	0.063096	0.125963	15.876645	0.999697
40	0.079433	0.083008	22.858150	0.999495
41	0.100000	0.077901	23.663878	0.999899
42	0.125893	0.056181	31.812543	0.999192
43	0.158489	0.044824	37.901468	0.994798
44	0.199526	0.038832	40.928121	0.996717
45	0.251189	0.035065	42.977153	0.997424
46	0.316228	0.031408	46.486706	0.992020
47	0.398107	0.029341	48.650309	0.984192
48	0.501187	0.024971	54.601965	0.975859
49	0.630957	0.025657	50.921838	0.958283
50	0.794328	0.024831	52.900912	0.963030
51	1.000000	0.024932	53.410239	0.969091
