1	78	402904.534878382
2	76	382783.650271866
3	60	375163.604348731
4	82	372830.86544134
5	88	370933.054184505
6	77	365598.406637585
7	66	363464.350362687
8	74	353017.604773216
9	84	347453.724089623
10	93	338044.183367692
11	79	334256.562221946
12	81	303934.703575815
13	90	303851.184981654
14	72	297067.946610811
15	89	294703.504073759
16	75	292468.097540085
17	50	286019.471744973
18	43	283448.957462919
19	91	283235.420025552
20	70	270940.05561915
21	87	270722.463605233
22	51	265282.147408191
23	40	260217.544038306
24	32	257020.690787443
25	73	252702.07510337
26	53	252592.605701355
27	95	252390.589528716
28	86	249941.892189172
29	38	241034.792977171
30	48	241018.303445253
31	58	240436.693968933
32	37	239401.83112252
33	52	237654.251711214
34	34	234717.421928146
35	35	224038.220325258
36	47	220407.609782854
37	31	219730.244727798
38	44	215953.192003616
39	98	208827.570897428
40	49	202020.675177283
41	57	199738.281853014
42	24	198803.426084838
43	64	195119.739878744
44	25	191644.871541429
45	39	189466.040501581
46	56	188331.970439961
47	46	188263.296795083
48	54	185149.29488373
49	36	174443.608524584
50	33	173020.820190733
51	41	167343.528454964
52	71	166608.204271566
53	27	164943.502549109
54	67	164212.383681015
55	28	160088.441976122
56	22	159756.106550306
57	80	158683.233132213
58	61	154388.321936083
59	26	150299.24364315
60	55	150063.915530096
61	59	148950.746883862
62	29	147596.286086374
63	63	147463.573985051
64	30	146304.746794332
65	92	142521.518782497
66	23	139977.470048383
67	85	137882.349635368
68	62	135765.286339207
69	45	135670.60537602
70	96	128683.54452126
71	94	120352.919403945
72	42	114405.628567378
73	65	102582.208625759
74	68	100397.747337946
75	83	97917.244239086
76	97	44451.6196633769
77	69	40357.2199043729
78	21	13277.4360290554
